"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000279712",0,NA,NA,NA,NA,NA
"ENSG00000261078",0,NA,NA,NA,NA,NA
"ENSG00000222370",0,NA,NA,NA,NA,NA
"ENSG00000022277",70.3203262488332,-0.181152079326359,0.66521675576372,-0.272320379420362,0.785375687635292,0.999986146191184
"ENSG00000148204",15.9178991075719,0.169568016952631,0.505668116831437,0.335334602496119,0.737372694243468,0.999986146191184
"ENSG00000133083",23.1822992155695,-0.3630213377244,0.747911341305653,-0.485380174995958,0.627406692608905,0.999986146191184
"ENSG00000144488",0.536834544917917,0.295872151552709,0.47085603228102,0.628370735996272,0.52976110299056,0.999986146191184
"ENSG00000275374",0,NA,NA,NA,NA,NA
"ENSG00000275372",0,NA,NA,NA,NA,NA
"ENSG00000275373",0,NA,NA,NA,NA,NA
"ENSG00000275371",0.805251817376875,0.314201351721393,0.481862525093837,0.652056002197319,0.514365045802116,0.999986146191184
"ENSG00000144481",0,NA,NA,NA,NA,NA
"ENSG00000267811",0,NA,NA,NA,NA,NA
"ENSG00000144485",6.54488894991139,1.05067719101272,0.785308070820385,1.33791722007277,0.18092342304366,0.999986146191184
"ENSG00000267815",0,NA,NA,NA,NA,NA
"ENSG00000275379",0,NA,NA,NA,NA,NA
"ENSG00000139908",0.479890230864848,-0.28786565452592,0.467655884071737,-0.615550160557292,0.538191453794712,0.999986146191184
"ENSG00000271464",0,NA,NA,NA,NA,NA
"ENSG00000271465",0,NA,NA,NA,NA,NA
"ENSG00000271462",0,NA,NA,NA,NA,NA
"ENSG00000271461",0,NA,NA,NA,NA,NA
"ENSG00000184999",0,NA,NA,NA,NA,NA
"ENSG00000271468",0,NA,NA,NA,NA,NA
"ENSG00000229839",0,NA,NA,NA,NA,NA
"ENSG00000218617",0,NA,NA,NA,NA,NA
"ENSG00000217646",0,NA,NA,NA,NA,NA
"ENSG00000217644",0,NA,NA,NA,NA,NA
"ENSG00000073008",10.8901757685062,0.0487972659698375,0.793006198894413,0.0615345328168548,0.950933513293019,0.999986146191184
"ENSG00000010932",6.14980547193766,-0.239585826350454,0.805758812446902,-0.297341862911667,0.766205524073283,0.999986146191184
"ENSG00000217648",1.68314252842473,-0.259398745158734,0.652403101283553,-0.397605015439668,0.690921362913567,0.999986146191184
"ENSG00000229833",55.2416555166669,0.885747468408534,0.717547301570761,1.2344098660389,0.217050214488515,0.999986146191184
"ENSG00000229834",0,NA,NA,NA,NA,NA
"ENSG00000229835",0,NA,NA,NA,NA,NA
"ENSG00000229836",0,NA,NA,NA,NA,NA
"ENSG00000222778",0,NA,NA,NA,NA,NA
"ENSG00000213731",0,NA,NA,NA,NA,NA
"ENSG00000213736",0,NA,NA,NA,NA,NA
"ENSG00000213735",0.481653591063727,0.00131269750006525,0.470764476543529,0.00278843788236402,0.99777515134808,0.999986146191184
"ENSG00000270540",0,NA,NA,NA,NA,NA
"ENSG00000213739",0,NA,NA,NA,NA,NA
"ENSG00000222777",0,NA,NA,NA,NA,NA
"ENSG00000222774",0,NA,NA,NA,NA,NA
"ENSG00000148688",22.865034844058,0.443668122140097,0.750166438122371,0.591426248354399,0.554234857482214,0.999986146191184
"ENSG00000100354",11.2491239304694,-0.620634964874394,0.800065650929262,-0.775730046844953,0.437908394961253,0.999986146191184
"ENSG00000150477",5.69838739809935,-0.017094081353206,0.804919029100019,-0.0212370197935547,0.983056583410068,0.999986146191184
"ENSG00000100351",7.20205584554248,0.288464183745137,0.806501063820935,0.357673655603737,0.720587550361423,0.999986146191184
"ENSG00000100350",8.96003468385353,-0.111188068343618,0.805548561990899,-0.138027765910001,0.890218473547743,0.999986146191184
