"","baseMean","log2FoldChange","stat","pvalue","padj"
"ENSG00000171298",6.09497682892486,-0.479712836262586,-0.676563010559682,0.510514841055413,0.840432759589619
"ENSG00000141543",5.82648078057688,-1.00497038131434,-1.37164221935466,0.193331098239813,0.627732979463736
"ENSG00000141527",1.54492818120997,-0.719862058719276,-0.619212871645898,0.546450257257637,0.850752336391694
"ENSG00000181523",5.28910774352692,0.398322238929915,0.595294670197383,0.561843009410637,0.858935947418139
"ENSG00000181045",3.94872489294583,-0.774064372594747,-0.858192120138224,0.406295430123153,0.78431515793018
"ENSG00000173821",6.98661246933854,0.338567408895178,0.554183095192562,0.588838407132548,0.871202102481789
"ENSG00000173818",3.71287077503742,-0.345335039298011,-0.395613595425963,0.698791014487976,0.909366635071164
"ENSG00000141564",4.7703701291577,0.0317289129990845,0.0430899801247802,0.966283098413607,0.989401558876504
"ENSG00000176108",4.71031704182691,-1.2142752415579,-1.62168597426254,0.128805241795978,0.546333956014612
"ENSG00000226137",3.23476153300863,0.405433284675802,0.399444160240704,0.696035822661741,0.907691181817935
"ENSG00000175866",4.48350701431698,-2.13797585744774,-2.56576479559517,0.0234461562427825,0.256003358381892
"ENSG00000141577",2.30965160347336,-1.45484296239486,-1.23994703741207,0.236860179805895,0.667252444451345
"ENSG00000167302",3.17450950813268,0.2827263364998,0.278194369651677,0.785228509751899,0.940041494383387
"ENSG00000224877",5.64527445624063,-0.863223497569035,-1.21107957389197,0.247372088995835,0.67707734700371
"ENSG00000157637",6.98119361001926,0.429348091165943,0.640560917138068,0.532911231767278,0.850752336391694
"ENSG00000262877",1.72916957975152,1.222330702876,1.0352230427327,0.319395354124528,0.734157146031411
"ENSG00000266074",4.19374255157223,0.268463296353246,0.322714009567544,0.752031455780947,0.931635880431521
"ENSG00000184009",11.2734165365097,-1.65023057241852,-1.93425341848416,0.0750961023925068,0.43445232397553
"ENSG00000185504",4.73153926622353,-1.24004419280927,-1.6638050056235,0.120000922527167,0.533327953585012
"ENSG00000182446",6.75362971332565,0.48182851487459,0.815833252225864,0.429256918594982,0.797252209065576
"ENSG00000204237",5.01416664794183,-0.319163500803279,-0.475243950949641,0.642480422201524,0.892675065388248
"ENSG00000185298",4.05224998795203,-0.694600308904883,-0.728039138597305,0.479468663782624,0.825488724016578
"ENSG00000214087",4.23002172853718,-0.494288016708042,-0.639609599355522,0.533510501138547,0.850752336391694
"ENSG00000185359",5.44171764597454,-0.507851031218967,-0.808434743255937,0.433352568732713,0.800616789463039
"ENSG00000262049",1.94116880639026,0.0656069052006607,0.0515541915271433,0.959665847374858,0.987677534499104
"ENSG00000262814",4.43361536019515,-1.47356903004398,-1.59087138646899,0.13559705251531,0.555814541162758
"ENSG00000183048",2.72665616358554,2.50203136789224,2.29968700889524,0.038637955935702,0.325787894108071
"ENSG00000225663",6.80221600016507,-1.67359730706496,-2.6147720075913,0.0213637793843322,0.245939198768803
"ENSG00000185624",9.49131937242338,-1.16442640575609,-1.60382243252599,0.132705689065176,0.552071926011186
"ENSG00000141522",6.9026274497169,-0.188040309332708,-0.315815170219843,0.757144171253071,0.933880863161592
"ENSG00000183684",5.54651599190978,-0.406275258428661,-0.491703388485238,0.631107841479617,0.889618677900639
"ENSG00000141552",6.32108523929506,-1.13933301994219,-1.75774036656857,0.102242772437802,0.498453123693929
"ENSG00000185813",5.46576492703217,0.808280696415847,1.27935442951407,0.223084061976139,0.653160876539974
"ENSG00000187531",4.09289861413022,-0.545388186253529,-0.666685522382691,0.516604298754123,0.843085212133398
"ENSG00000197063",4.8922949380724,-0.415559557767589,-0.604498780354565,0.555891943962108,0.855776515627911
"ENSG00000183010",3.98099649146313,-4.03233428185087,-4.37082494912962,0.00075323112524606,0.0470844776391312
"ENSG00000169696",4.73413481910599,-0.337725051163611,-0.467748982008876,0.647690510960029,0.894703110804128
"ENSG00000169689",5.19295969876782,-1.27500305628071,-1.64082144280576,0.124737878225293,0.541730413820049
"ENSG00000169683",4.37514398457264,-1.66824807932582,-1.98078639346695,0.0691250652562311,0.417690461978444
"ENSG00000169750",4.6684730919824,-1.05518608004387,-1.40348969581859,0.18385021600562,0.617380350730332
"ENSG00000169738",5.78214640506625,1.17620109503155,1.65887273093803,0.121004009992828,0.534741742822273
"ENSG00000169733",5.65108321173958,-0.847084890221648,-1.25940639277737,0.229975504506343,0.662325214775006
"ENSG00000169727",6.30898747262777,0.0988265423775534,0.152852344668752,0.880856249386164,0.971459494515333
"ENSG00000169718",5.98246480279703,0.634468888362258,1.03101560147624,0.321291070545802,0.736888821127063
"ENSG00000169710",7.57160533233985,4.13533538736085,5.19900448702185,0.000170080834089028,0.0248969116463314
"ENSG00000176155",3.76363083736362,-2.15089807596282,-2.34646105306267,0.035417240114372,0.313003201048342
"ENSG00000141526",6.51826134158031,-3.92752149797969,-5.70956568562601,7.1124806111694e-05,0.0181469862450693
"ENSG00000141551",6.49623246340674,-0.0299602286302045,-0.0515599721307737,0.959661329150409,0.987677534499104
"ENSG00000260563",2.30965160347336,1.63090852256268,1.45591304224304,0.169084724087493,0.599943195519169
