"name","log2FoldChange","log_padj"
"ENSG00000110514",0.151111098464612,0.000384912020740223
"ENSG00000086015",0.133558772114923,0.000384912020740223
"ENSG00000255071",0.373485784448703,0.000384912020740223
"ENSG00000169740",0.16429562779872,0.000384912020740223
"ENSG00000261609",-0.193841032681515,0.000384912020740223
"ENSG00000169744",-4.15180607201833,8.36183828731497
"ENSG00000168297",0.750302036950723,0.000384912020740223
"ENSG00000168291",0.61925301973803,0.00606843241199517
"ENSG00000149792",0.175139998915988,0.000384912020740223
"ENSG00000183054",-0.174267840424886,0.000384912020740223
"ENSG00000187961",1.08308791990543,0.0318665926166735
"ENSG00000149243",1.06051315208789,0.0259995163474755
"ENSG00000184702",-1.86135803389051,0.507907640385135
"ENSG00000184708",-0.398597409708322,0.000384912020740223
"ENSG00000163462",2.15122100823003,1.02111831262152
"ENSG00000163463",0.667866922858255,0.000384912020740223
"ENSG00000163466",0.309939525813937,0.000384912020740223
"ENSG00000163468",0.908680234184177,0.243912470811731
"ENSG00000162599",-0.985715228644495,0.242260954540745
"ENSG00000162591",2.48326866198807,4.05801121426172
"ENSG00000029363",-0.487638525671123,0.000384912020740223
"ENSG00000118640",1.69466389370919,1.2191332029086
"ENSG00000115073",-0.217483838508279,0.000384912020740223
"ENSG00000213853",-1.54401866887694,1.04302041758409
"ENSG00000213859",-0.413518402841737,0.000384912020740223
"ENSG00000055070",0.543268182034856,0.000384912020740223
"ENSG00000162337",-2.36091355755137,2.19471248577689
"ENSG00000182013",1.9897279377243,0.883214634834665
"ENSG00000164659",-1.85690523055221,0.946664657078264
"ENSG00000164654",0.0987104609127617,0.000384912020740223
"ENSG00000114978",0.13458138217371,0.000384912020740223
"ENSG00000161021",-0.743943432827749,0.000384912020740223
"ENSG00000215861",-0.799582965437581,0.000384912020740223
"ENSG00000119509",-1.06807680299571,0.0318665926166735
"ENSG00000165304",1.12275966665089,0.0417857799497901
"ENSG00000101608",0.0818350943377341,0.000384912020740223
"ENSG00000101605",-3.66157555067418,3.74546228737469
"ENSG00000170100",-0.314689988910848,0.000384912020740223
"ENSG00000198791",0.800214820753914,0.0679861500147421
"ENSG00000198792",-0.579543036921988,0.000384912020740223
"ENSG00000198793",-0.641742213089635,0.000384912020740223
"ENSG00000198794",-0.518259819843356,0.000384912020740223
"ENSG00000198795",-1.4903409769294,0.304269560579106
"ENSG00000198797",2.45855046186321,1.2275205497581
"ENSG00000197776",-1.26870390013901,0.143970210033043
"ENSG00000175550",-0.000222381246367466,0.00015743378792052
"ENSG00000197771",-0.310148950911606,0.000384912020740223
"ENSG00000076321",-0.25221813532168,0.000384912020740223
"ENSG00000183864",-0.435614346091777,0.000384912020740223
"ENSG00000124217",-0.18535581173902,0.000384912020740223
"ENSG00000124214",-0.195687845078863,0.000384912020740223
"ENSG00000124212",2.37824192904864,4.36563841201533
"ENSG00000247596",0.0397989366722488,0.000384912020740223
"ENSG00000161970",0.714597470922089,0.0843753332530972
"ENSG00000175073",-0.326123426912266,0.000384912020740223
"ENSG00000160087",0.235868523305552,0.000384912020740223
"ENSG00000036054",-0.0578363042651753,0.000384912020740223
"ENSG00000104903",-0.218005874280032,0.000384912020740223
"ENSG00000002586",-0.424309727731533,0.000384912020740223
