"name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000141258",26.4075632989533,0.831360118824044,0.854723816595426,0.97266520796806,0.330719722404123,0.970092176617741
"ENSG00000244723",0.25,-0.464285371996484,0.789466019549636,-0.588100514144159,0.55646482805362,NA
"ENSG00000260037",0,NA,NA,NA,NA,NA
"ENSG00000260036",0.25,-0.464285371996483,0.789466019549636,-0.588100514144158,0.556464828053621,NA
"ENSG00000260035",0,NA,NA,NA,NA,NA
"ENSG00000260034",0,NA,NA,NA,NA,NA
"ENSG00000260033",0,NA,NA,NA,NA,NA
"ENSG00000260032",169.134740152132,-0.799109917862685,0.635936644445253,-1.25658731076863,0.208903111956924,0.847519290360157
"ENSG00000260031",0,NA,NA,NA,NA,NA
"ENSG00000260030",0,NA,NA,NA,NA,NA
"ENSG00000251005",0,NA,NA,NA,NA,NA
"ENSG00000219249",0,NA,NA,NA,NA,NA
"ENSG00000260038",0,NA,NA,NA,NA,NA
"ENSG00000237158",0,NA,NA,NA,NA,NA
"ENSG00000196758",0,NA,NA,NA,NA,NA
"ENSG00000237159",0,NA,NA,NA,NA,NA
"ENSG00000196756",19.721397905866,0.554729883357049,0.908130511009731,0.610848194870423,0.541300083778038,0.999615162048388
"ENSG00000196757",9.76202837470472,-0.710889048550933,1.01129008329939,-0.702952654525811,0.482085255427747,0.999615162048388
"ENSG00000196754",7.17355708829,1.33613181881286,1.09832677720567,1.21651574608078,0.223788516471172,0.869995232666501
"ENSG00000217159",0,NA,NA,NA,NA,NA
"ENSG00000154845",63.9622833956182,0.674533795357337,0.711827180506884,0.947608933501259,0.343328576580836,0.979729480736083
"ENSG00000153814",19.3003391231732,-0.0703813074576215,0.958567204416888,-0.0734234460904967,0.941469160664897,0.999615162048388
"ENSG00000153815",21.8363051904694,-0.865965222853447,0.863832229741371,-1.00246922149769,0.316117024540595,0.962810927785685
"ENSG00000076344",30.7544405019007,0.629796263609916,0.819795198618396,0.768236096858476,0.442346931868907,0.999615162048388
"ENSG00000120688",12.9685090022113,-0.77310462969641,0.981387947875767,-0.787766582389573,0.430833251367856,0.999615162048388
"ENSG00000197085",0,NA,NA,NA,NA,NA
"ENSG00000150540",45.9412799210963,-1.64917728943531,0.770982266426265,-2.13905995150802,0.0324308133193417,0.315438167157358
"ENSG00000104921",3.90562110264984,-0.415146891479967,1.1244153615703,-0.369211330322091,0.711970211210618,NA
"ENSG00000197081",48.6370706193103,-0.649227766428089,0.828051248815397,-0.784042977239475,0.433014892901119,0.999615162048388
"ENSG00000197083",2.98760484803659,-0.185020738881051,1.09535871009974,-0.168913377120272,0.865864776972495,NA
"ENSG00000231765",0,NA,NA,NA,NA,NA
"ENSG00000231764",3.81836920482923,0.507257152884149,1.12459754863269,0.451056605539364,0.651948752241605,NA
"ENSG00000111885",71.1990463791274,-2.05564992817608,0.730576112269673,-2.8137382178974,0.00489690884989771,0.0924577752383402
"ENSG00000197332",1.25,-0.796905043288493,0.934416873509951,-0.852836743299677,0.393749844732489,NA
